City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Banff,51.1762,-115.5698,48.58,25,20,9.22,CA,1653241276
Dali,25.7,100.1833,61.07,88,64,2.98,CN,1653241405
Hanmer Springs,-42.5167,172.8167,37.98,87,79,3.65,NZ,1653241405
Maku,39.2911,44.4521,68.61,32,75,16.11,IR,1653241406
Senec,48.2195,17.4004,68.83,37,0,8.05,SK,1653241406
Nhulunbuy,-12.2333,136.7667,79.41,83,75,5.75,AU,1653241407
Mahanoro,-19.9,48.8,70.11,89,3,2.68,MG,1653241407
Champerico,14.3,-91.9167,88.34,67,83,8.79,GT,1653241329
Severo-Kuril'sk,50.6789,156.125,40.26,96,100,16.84,RU,1653241408
Merauke,-8.4667,140.3333,78.13,87,22,11.56,ID,1653241408
Provideniya,64.3833,-173.3,47.12,49,100,9.66,RU,1653241408
Souillac,-20.5167,57.5167,75.58,73,40,12.66,MU,1653241410
Cherskiy,68.75,161.3,48.24,57,74,10.85,RU,1653241410
Linxia Chengguanzhen,35.6003,103.2064,55.42,60,26,2.26,CN,1653241410
East London,-33.0153,27.9116,58.14,94,0,4.61,ZA,1653241411
Papara,-3.9839,-38.7273,84.16,85,29,8.72,BR,1653241411
Coruripe,-10.1256,-36.1756,80.49,67,27,14.0,BR,1653241412
Duku,11.2361,4.9073,81.73,62,93,9.51,NG,1653241412
Nikolskoye,59.7035,30.7861,53.49,53,0,2.13,RU,1653241219
Bathsheba,13.2167,-59.5167,86.61,66,20,20.71,BB,1653241413
Naze,28.3667,129.4833,63.52,75,99,4.83,JP,1653241413
São Filipe,14.8961,-24.4956,73.06,74,61,13.02,CV,1653241333
Margate,51.3813,1.3862,61.56,71,59,4.0,GB,1653241413
Bluff,-46.6,168.3333,49.68,72,93,23.55,NZ,1653241414
Nelson Bay,-32.7167,152.15,57.63,97,99,4.74,AU,1653241414
Longyearbyen,78.2186,15.6401,35.44,87,75,0.0,SJ,1653241415
Eureka,40.8021,-124.1637,53.89,80,90,3.0,US,1653241327
Hong Kong,22.2855,114.1577,77.05,83,100,17.0,HK,1653241319
Khotynets,53.1286,35.3966,41.86,82,59,6.46,RU,1653241415
Bredasdorp,-34.5322,20.0403,56.91,88,56,6.02,ZA,1653241416
Diffa,13.3154,12.6113,92.32,12,29,6.89,NE,1653241416
Labuhan,-6.8844,112.2051,80.2,82,98,10.51,ID,1653241416
Nuuk,64.1835,-51.7216,34.41,100,100,33.38,GL,1653241339
Orlik,52.5178,99.825,51.75,54,99,3.13,RU,1653241417
Cerrito,6.8432,-72.694,67.44,52,4,1.97,CO,1653241417
Arraial do Cabo,-22.9661,-42.0278,75.06,60,0,16.11,BR,1653241118
Saldanha,-33.0117,17.9442,59.05,85,83,6.6,ZA,1653241418
Barretos,-20.5572,-48.5678,78.12,25,2,4.83,BR,1653241418
Bouloupari,-21.8667,166.05,76.91,85,62,3.76,NC,1653241419
Klaksvík,62.2266,-6.589,50.92,86,70,2.91,FO,1653241419
Nantong,32.0303,120.8747,70.99,65,100,9.66,CN,1653241420
Port Lincoln,-34.7333,135.8667,61.83,76,100,10.2,AU,1653241420
De-Kastri,51.4667,140.7833,37.11,97,92,2.26,RU,1653241420
Suntar,62.1444,117.6319,46.06,83,99,3.06,RU,1653241421
Port Alfred,-33.5906,26.891,57.18,90,38,2.42,ZA,1653241421
Zhigansk,66.7697,123.3711,34.93,82,58,5.23,RU,1653241167
Kiruna,67.8557,20.2251,54.52,54,0,6.91,SE,1653241422
Lola,7.8,-8.5333,75.06,83,100,3.02,GN,1653241422
Arzgir,45.3728,44.2206,62.28,65,4,8.79,RU,1653241423
Manicoré,-5.8092,-61.3003,89.55,51,0,3.44,BR,1653241423
Port Macquarie,-31.4333,152.9167,55.89,85,100,3.89,AU,1653241423
Kokoda,-8.8785,147.7407,72.23,93,59,1.32,PG,1653241424
Huarmey,-10.0681,-78.1522,70.16,72,72,9.91,PE,1653241424
Cocorit,27.5833,-109.9667,91.94,17,42,8.93,MX,1653241424
Ariquemes,-9.9133,-63.0408,88.32,44,0,1.25,BR,1653241425
Nova Russas,-4.7067,-40.5631,83.32,56,75,6.46,BR,1653241425
Camapuã,-19.5314,-54.0439,83.44,17,7,3.47,BR,1653241426
Nishihara,26.1842,127.7558,74.48,78,20,8.05,JP,1653241426
Natal,-5.795,-35.2094,79.02,94,75,9.22,BR,1653241137
Fairbanks,64.8378,-147.7164,58.77,35,0,6.91,US,1653241427
Bukachacha,52.9833,116.9167,44.38,90,100,3.36,RU,1653241427
Lompoc,34.6391,-120.4579,58.53,73,0,8.05,US,1653241427
Louth,53.3666,-0.0044,68.59,82,100,8.1,GB,1653241429
Kimbe,-5.5502,150.1429,75.56,93,30,3.53,PG,1653241429
Sisimiut,66.9395,-53.6735,33.82,80,100,13.38,GL,1653241430
Skerries,53.5828,-6.1083,57.49,76,82,12.06,IE,1653241430
Oistins,13.0667,-59.5333,86.09,66,20,20.71,BB,1653241408
Māngrol,21.1167,70.1167,83.93,76,92,18.1,IN,1653241430
Katangli,51.7102,143.2326,32.92,92,96,6.42,RU,1653241431
Chaohu,31.6,117.8667,69.37,74,100,3.94,CN,1653241431
Fortuna,40.5982,-124.1573,50.95,93,100,8.05,US,1653241432
Goderich,43.7501,-81.7165,46.72,81,100,14.97,CA,1653241432
Buraidah,26.326,43.975,97.25,8,0,12.35,SA,1653241432
San Patricio,28.017,-97.5169,73.56,62,97,16.2,US,1653241433
Jacareacanga,-6.2222,-57.7528,91.31,39,6,3.96,BR,1653241433
Cape Town,-33.9258,18.4232,60.58,77,0,8.05,ZA,1653241382
Birobidzhan,48.8,132.95,43.18,89,87,2.28,RU,1653241434
Mahébourg,-20.4081,57.7,75.49,73,40,12.66,MU,1653241434
Noshiro,40.2039,140.0242,57.42,88,100,2.39,JP,1653241435
Upernavik,72.7868,-56.1549,33.67,97,100,1.7,GL,1653241228
College,64.8569,-147.8028,58.73,35,40,6.91,US,1653241435
Tarko-Sale,64.9225,77.785,56.08,65,31,16.31,RU,1653241436
Erenhot,43.6475,111.9767,67.33,37,62,5.32,CN,1653241436
Half Moon Bay,37.4636,-122.4286,63.57,63,0,11.5,US,1653241436
Westport,41.1415,-73.3579,87.19,61,0,5.75,US,1653241437
Korla,41.7597,86.1469,80.33,13,100,16.46,CN,1653241406
Jaqué,7.5175,-78.1703,83.52,78,38,4.18,PA,1653241437
Fayaoué,-20.65,166.5333,76.8,82,12,3.02,NC,1653241328
Chui,-33.6971,-53.4616,64.44,53,1,4.65,UY,1653241438
Vieste,41.8825,16.175,70.92,71,13,1.74,IT,1653241438
Aripuanã,-9.1667,-60.6333,90.34,36,0,2.48,BR,1653241439
Guerrero Negro,27.9769,-114.0611,66.76,59,0,13.62,MX,1653241439
Abu Samrah,35.3029,37.1841,63.81,50,0,19.08,SY,1653241439
Polyarny,69.1989,33.4478,38.75,69,99,14.09,RU,1653241440
Constitución,-35.3333,-72.4167,55.0,79,100,8.05,CL,1653241440
Dunedin,-45.8742,170.5036,46.8,71,95,5.99,NZ,1653241218
Chinsali,-10.5414,32.0816,65.82,71,83,4.81,ZM,1653241441
Saint George,37.1041,-113.5841,78.3,12,0,3.0,US,1653241278
Tahe,52.3333,124.7333,44.74,96,70,5.75,CN,1653241441
Alofi,-19.0595,-169.9187,66.09,94,18,1.14,NU,1653241441
Goth Radhan,27.1833,67.95,101.75,8,34,6.22,PK,1653241442
New Norfolk,-42.7826,147.0587,43.66,82,99,2.48,AU,1653241156
San Luis,-33.295,-66.3356,71.13,25,67,14.99,AR,1653241443
Broome,42.2506,-75.833,84.15,54,0,11.5,US,1653241443
Batote,33.1227,75.321,57.34,64,63,11.68,IN,1653241443
Fasa,28.9383,53.6482,83.44,10,0,6.91,IR,1653241444
Biskamzha,53.4497,89.5272,60.73,69,100,2.75,RU,1653241444
Złocieniec,53.5329,16.0113,55.89,69,86,6.69,PL,1653241445
Warangal,18.0,79.5833,91.92,24,2,8.23,IN,1653241445
Esperance,-33.8667,121.9,64.54,65,37,10.49,AU,1653241446
Chokurdakh,70.6333,147.9167,32.02,99,100,5.48,RU,1653241239
Tigil',57.8,158.6667,41.14,79,91,5.57,RU,1653241446
Shangrao,28.4532,117.9686,64.35,98,100,1.23,CN,1653241447
Marataizes,-21.0433,-40.8244,72.21,67,10,8.75,BR,1653241448
Srednekolymsk,67.45,153.6833,48.96,53,100,7.99,RU,1653241449
Cockburn Town,21.4612,-71.1419,84.16,65,40,17.27,TC,1653241449
Okha,53.5739,142.9478,31.3,92,100,12.06,RU,1653241449
Ingham,42.6,-84.3833,61.63,63,75,13.8,US,1653241450
Lethem,3.3803,-59.7968,72.54,97,100,2.53,GY,1653241450
Saskylakh,71.9167,114.0833,33.93,99,100,4.38,RU,1653241451
Egvekinot,66.3167,-179.1667,41.22,61,100,3.98,RU,1653241451
Devils Lake,48.1128,-98.8651,53.76,37,100,8.05,US,1653241224
Khasan,42.4308,130.6434,51.8,80,41,4.32,RU,1653241451
Jalu,29.0331,21.5482,79.63,19,0,9.69,LY,1653241452
Vestmannaeyjar,63.4427,-20.2734,54.59,66,0,6.91,IS,1653241452
Boone,39.0334,-92.3335,61.54,38,100,11.27,US,1653241453
Ilulissat,69.2167,-51.1,32.94,99,100,4.83,GL,1653241453
Boyolangu,-8.1181,111.8935,76.06,89,91,1.05,ID,1653241454
Touros,-5.1989,-35.4608,82.4,73,36,14.72,BR,1653241454
Northam,51.0333,-4.2167,57.52,86,88,10.47,GB,1653241454
Piaçabuçu,-10.4056,-36.4344,81.07,65,26,12.68,BR,1653241455
St. Pete Beach,27.7253,-82.7412,90.27,60,0,10.36,US,1653241455
Parkes,-33.1333,148.1833,52.36,79,79,7.18,AU,1653241456
Vallenar,-28.5708,-70.7581,79.74,19,0,5.01,CL,1653241456
Turka,49.1541,23.0297,46.15,86,95,5.44,UA,1653241457
Tarauacá,-8.1614,-70.7656,86.86,53,73,1.34,BR,1653241370
Olden,61.8364,6.8064,59.74,69,93,7.29,NO,1653241457
Corinth,37.9407,22.9573,75.42,57,6,3.94,GR,1653241458
Moerai,-22.4333,-151.3333,78.13,70,61,7.4,PF,1653241458
Thinadhoo,0.5333,72.9333,84.0,74,100,11.39,MV,1653241324
Belmonte,-15.8631,-38.8828,77.99,61,14,11.5,BR,1653241459
Lebu,-37.6167,-73.65,53.2,92,100,10.96,CL,1653241459
Juegang,32.3174,121.1855,69.91,73,100,8.95,CN,1653241460
Nanortalik,60.1432,-45.2371,38.52,97,100,9.33,GL,1653241460
Tucuruí,-3.7661,-49.6725,83.86,69,39,6.04,BR,1653241461
Vila Franca do Campo,37.7167,-25.4333,64.81,87,100,3.98,PT,1653241461
Tashla,51.7716,52.7427,45.25,90,100,7.96,RU,1653241462
Matara,5.9485,80.5353,78.89,90,10,10.78,LK,1653241462
Ignatovka,53.9479,47.6536,41.02,80,100,6.69,RU,1653241463
Airai,-8.9266,125.4092,58.32,92,36,3.27,TL,1653241463
Yonibana,8.4447,-12.245,79.5,88,100,4.12,SL,1653241464
Tiksi,71.6872,128.8694,29.89,88,100,5.08,RU,1653241464
Starachowice,51.0374,21.0713,53.92,74,97,9.98,PL,1653241424
Isangel,-19.55,169.2667,76.14,85,79,8.03,VU,1653241465
Fukuechō,32.6881,128.8419,68.41,76,100,7.05,JP,1653241465
Ponta do Sol,32.6667,-17.1,70.61,75,20,1.28,PT,1653241465
Ürümqi,43.801,87.6005,76.15,29,0,11.18,CN,1653241466
Maningrida,-12.0667,134.2667,71.71,91,25,7.96,AU,1653241466
La Ronge,55.1001,-105.2842,62.85,16,75,13.8,CA,1653241467
Grindavik,63.8424,-22.4338,50.47,66,0,21.85,IS,1653241467
Byron Bay,-28.65,153.6167,58.71,85,80,11.25,AU,1653241468
Yarim,14.298,44.3779,64.94,24,30,3.78,YE,1653241468
Hasaki,35.7333,140.8333,61.2,80,98,6.2,JP,1653241469
Te Anau,-45.4167,167.7167,36.14,91,29,1.25,NZ,1653241386
Meadow Lake,34.8014,-106.5436,61.0,33,3,6.49,US,1653241277
Murmashi,68.8154,32.8115,39.42,93,75,0.0,RU,1653241470
Dingle,10.9995,122.6711,77.43,89,97,4.27,PH,1653241471
Muroto-misakicho,33.2833,134.15,68.14,71,1,4.54,JP,1653241471
Mangan,27.5167,88.5333,69.35,91,94,1.14,IN,1653241472
Jijiang,29.2906,106.2542,67.37,88,67,1.79,CN,1653241472
Port Shepstone,-30.7414,30.455,62.96,76,82,8.34,ZA,1653241473
Okhotsk,59.3833,143.3,34.09,99,100,13.09,RU,1653241473
Marsh Harbour,26.5412,-77.0636,79.48,75,91,15.37,BS,1653241474
Verkhnevilyuysk,63.4453,120.3167,47.34,67,94,3.09,RU,1653241474
Spring Valley,36.108,-115.245,80.35,12,20,5.01,US,1653241463
Belfast,54.5833,-5.9333,62.42,48,20,20.71,GB,1653241229
Chapais,49.7834,-74.8492,31.78,89,100,3.09,CA,1653241475
Fort Nelson,58.8053,-122.7002,47.79,66,100,3.44,CA,1653241475
Sapa,5.1544,120.3241,81.18,79,100,7.56,PH,1653241476
Lashio,22.9333,97.75,69.33,85,42,0.78,MM,1653241476
Talnakh,69.4865,88.3972,33.21,100,100,2.86,RU,1653241476
Zhuhai,22.2769,113.5678,76.82,83,40,16.11,CN,1653241477
Pisco,-13.7,-76.2167,66.25,77,100,9.22,PE,1653241420
Ust'-Omchug,61.15,149.6333,32.67,98,100,4.29,RU,1653241477
Leh,34.1667,77.5833,48.18,44,80,6.51,IN,1653241477
Umluj,25.0213,37.2685,81.14,53,11,8.95,SA,1653241478
Visby,57.6409,18.296,48.43,81,0,4.61,SE,1653241478
Gombe,10.2897,11.1673,89.62,29,29,4.43,NG,1653241479
Mayo,38.8876,-76.5119,86.58,64,0,12.66,US,1653241479
Aklavik,68.2191,-135.0107,26.6,80,100,5.75,CA,1653241480
Acapulco de Juárez,16.8634,-99.8901,84.02,58,75,5.75,MX,1653241356
Piney Green,34.716,-77.3202,78.96,73,0,8.05,US,1653241480
Port Hardy,50.6996,-127.4199,48.38,93,75,4.61,CA,1653241276
Gurupá,-1.405,-51.64,85.08,64,26,1.54,BR,1653241480
Kavieng,-2.5744,150.7967,82.83,70,61,17.6,PG,1653241481
Isaka,-3.9,32.9333,71.69,60,86,3.49,TZ,1653241481
Katsuura,35.1333,140.3,62.74,88,98,8.63,JP,1653241482
Berlevåg,70.8578,29.0864,42.75,75,100,6.91,NO,1653241480
Cobija,-11.0267,-68.7692,87.98,62,75,0.0,BO,1653241482
Ancud,-41.8697,-73.8203,48.87,67,62,14.0,CL,1653241482
Nova Olímpia,-14.7972,-57.2881,89.33,28,12,2.08,BR,1653241264
Sitka,57.0531,-135.33,51.69,76,40,5.75,US,1653241483
Quatre Cocos,-20.2078,57.7625,72.09,71,24,15.41,MU,1653241483
Mossamedes,-15.1961,12.1522,69.78,72,0,4.34,AO,1653241484
Mount Gambier,-37.8333,140.7667,40.91,93,75,3.44,AU,1653241484
Mombaça,-5.7431,-39.6275,83.08,54,88,7.76,BR,1653241485
Beatrice,40.2681,-96.747,62.58,34,0,12.66,US,1653241262
Maşyāf,35.0653,36.3406,58.05,84,5,17.69,SY,1653241485
Mahon,39.8885,4.2658,79.36,50,0,8.05,ES,1653241486
Waingapu,-9.6567,120.2641,76.86,85,50,8.34,ID,1653241486
Barcelos,41.5388,-8.6151,68.56,81,80,7.09,PT,1653241486
Sakakah,29.9697,40.2064,94.57,23,82,21.09,SA,1653241487
Verāval,20.9,70.3667,84.33,73,98,18.59,IN,1653241487
Praia da Vitória,38.7333,-27.0667,66.45,94,75,3.94,PT,1653241487
Buala,-8.145,159.5921,80.01,82,18,6.08,SB,1653241488
Sistranda,63.7256,8.834,57.16,79,85,15.41,NO,1653241490
Port Blair,11.6667,92.75,83.1,83,92,21.72,IN,1653241490
Rongcheng,30.634,117.8517,67.91,84,100,2.93,CN,1653241491
Yerofey Pavlovich,53.9667,121.9667,39.85,97,100,3.65,RU,1653241491
Bichura,50.5881,107.6022,55.47,53,31,1.59,RU,1653241491
Adrar,20.5022,-10.0711,105.46,6,22,10.76,MR,1653241492
Rome,43.2128,-75.4557,80.62,58,0,5.75,US,1653241492
Shakiso,5.75,38.9167,59.97,94,83,1.99,ET,1653241492
Tot'ma,59.9747,42.7642,34.54,86,99,7.74,RU,1653241493
Yumaguzino,52.9041,56.3933,41.5,91,74,6.55,RU,1653241493
Arawa,-6.2132,155.5367,75.56,90,36,1.88,PG,1653241494
Marzuq,14.4,46.4667,81.07,13,100,0.65,YE,1653241494
Atar,20.5169,-13.0499,108.32,7,18,1.07,MR,1653241494
Klyuchi,52.2667,79.1667,56.21,43,78,7.29,RU,1653241495
Alibag,18.6411,72.8792,86.07,74,34,10.76,IN,1653241495
Beringovskiy,63.05,179.3167,38.5,82,100,8.23,RU,1653241496
Luanda,-8.8368,13.2343,73.36,78,99,11.92,AO,1653241220
Taoudenni,22.6783,-3.9836,104.11,7,0,13.29,ML,1653241497
São Francisco,-15.9486,-44.8644,88.66,21,5,0.18,BR,1653241497
Lüderitz,-26.6481,15.1594,58.71,68,13,8.97,NA,1653241498
Husavik,66.0449,-17.3389,37.99,97,100,8.52,IS,1653241498
Antón Lizardo,19.05,-95.9833,95.22,47,0,9.01,MX,1653241498
Podbrdo,44.4408,17.0139,59.99,93,22,3.33,BA,1653241499
Dawson Creek,55.7666,-120.2362,60.44,27,0,10.36,CA,1653241236
Tapejara,-28.0681,-52.0139,61.18,65,97,3.71,BR,1653241499
Porto Empedocle,37.2934,13.5264,68.79,63,0,5.19,IT,1653241500
Saint Anthony,45.0205,-93.218,52.83,44,100,16.11,US,1653241500
Salalah,17.0151,54.0924,84.29,84,75,8.05,OM,1653241500
Maturin,9.75,-63.1767,92.82,37,77,9.06,VE,1653241281
Vrangel',42.7297,133.0839,50.92,87,13,4.0,RU,1653241501
Smithers,54.7804,-127.1743,53.92,43,20,3.44,CA,1653241501
Ugoofaaru,5.6667,73.0,83.23,79,18,13.6,MV,1653241502
Bar Harbor,44.3876,-68.2039,59.45,83,0,8.01,US,1653241502
Muros,42.7762,-9.0603,62.94,92,99,8.37,ES,1653241503
Nome,64.5011,-165.4064,60.87,25,0,17.27,US,1653241503
Coyhaique,-45.5752,-72.0662,40.95,65,75,3.44,CL,1653241504
Agadir,30.4202,-9.5982,77.45,54,100,5.61,MA,1653241504
Lorengau,-2.0226,147.2712,82.87,71,94,11.54,PG,1653241504
Kutum,14.2,24.6667,83.01,15,87,8.3,SD,1653241505
Abū Zabad,12.35,29.25,90.45,15,100,13.53,SD,1653241505
Boa Vista,2.8197,-60.6733,75.18,88,100,5.75,BR,1653241506
Río Gallegos,-51.6226,-69.2181,42.39,51,30,15.21,AR,1653241295
Bafatá,12.1667,-14.75,98.78,23,59,10.85,GW,1653241506
Aasiaat,68.7098,-52.8699,32.31,92,100,9.82,GL,1653241507
Kavaratti,10.5669,72.642,83.43,80,95,18.03,IN,1653241507
Mahibadhoo,3.7833,72.9667,83.41,76,89,13.24,MV,1653241508
Caetité,-14.0694,-42.475,79.63,32,0,5.21,BR,1653241508
Yangi Marg`ilon,40.4272,71.7189,57.92,58,40,2.3,UZ,1653241509
Şurmān,32.7567,12.5716,75.31,28,0,10.04,LY,1653241509
Sawtell,-30.3833,153.1,59.02,88,40,10.36,AU,1653241510
Grand-Santi,4.25,-54.3833,79.95,90,97,1.7,GF,1653241510
Narsaq,60.9167,-46.05,37.62,99,100,6.13,GL,1653241512
Najrān,17.4924,44.1277,88.45,11,4,4.25,SA,1653241467
Mayahi,13.9553,7.6712,93.76,11,80,4.97,NE,1653241512
Strezhevoy,60.7333,77.5889,64.26,60,78,19.28,RU,1653241513
Progreso,21.2833,-89.6667,96.12,48,7,7.36,MX,1653241404
Saint-Leu,-21.15,55.2833,70.65,73,38,3.04,RE,1653241513
Pontes e Lacerda,-15.2261,-59.3353,87.93,35,76,3.31,BR,1653241514
Franca,-20.5386,-47.4008,72.05,29,2,5.55,BR,1653241514
Hobyo,5.3505,48.5268,80.67,82,97,27.76,SO,1653241515
Bata,1.8639,9.7658,78.84,85,65,8.97,GQ,1653241515
Syra,37.4423,24.9425,68.7,68,21,1.14,GR,1653241516
Gōtsuchō,35.0,132.2167,62.1,91,33,2.73,JP,1653241516
Basco,20.4487,121.9702,81.25,80,50,9.71,PH,1653241517
Prince Rupert,54.3161,-130.3201,52.23,69,0,6.91,CA,1653241517
Port Moresby,-9.4431,147.1797,80.02,89,40,17.27,PG,1653241518
Port Hedland,-20.3167,118.5667,78.85,94,100,6.91,AU,1653241518
Torbay,47.6666,-52.7314,61.68,39,100,12.66,CA,1653241518
Gamba,-2.65,10.0,74.91,83,31,4.85,GA,1653241519
Brae,60.3964,-1.353,51.85,95,100,10.76,GB,1653241519
Birao,10.2849,22.7882,92.23,20,100,5.53,CF,1653241483
Carnarvon,-24.8667,113.6333,71.49,61,94,16.8,AU,1653241520
Sanaa,15.3547,44.2067,71.19,15,21,6.24,YE,1653241520
